wallet,segment,CyberKongz Genesis,CyberKongz Babies,CyberKongz VX (Any),CyberKongz Genkai (Any)
0x39e9f7e6ec4def7234ba33ed37b3f0ed12cdcaa5,babies,0,1,0,0
0x39fd6c10e546ceeeedb21142615825acba1fc051,babies,0,1,0,0
0x3ad5905eefacf3eee501c86e0105fe793c19752e,babies,0,1,0,0
0x3c0e8b2d6936c4dafe1324a3eecd1ed44b78b9f4,babies,0,1,0,0
0x3c7999f26235204a795f36450fbae77cb29b7ce9,babies,0,1,0,0
0x3ca07d1889d98f328abb65c90513326d9a4a2eac,babies,0,1,0,0
0x3cd3bf7db26df10ff229fe8f8650bb9f8d05f103,babies,0,1,0,0
0x3dbbe81a8a46d5882de435a189969b202832906d,babies,0,1,0,0
0x3de75e93d19a654fa69f6c6b4083eceacd668953,babies,0,1,0,0
0x3e2c1393fa7a461687a03828fe6d8bf761968b3f,babies,0,1,0,0
0x3e67f87d286b28685ccefc5b4f8de5b514a5b866,babies,0,1,0,0
0x3e694abc68ab878079c47797ee20a34d03461286,babies,0,1,0,0
0x3f05f8d1cd42448825c7adda97ecf3e1c284ad60,babies,0,2,0,0
0x405450e5f6155e517a63f49f3b390dd0a5c5d271,babies,0,1,0,0
0x40730d744614d4d491b839100ee694f1ab45bed7,babies,0,1,0,0
0x407a19184306804ea7e4e86515aa71379b50f877,babies,0,1,0,0
0x4082248d519a89664a3486420c6675855adde2e9,babies,0,1,0,0
0x416b0cde62f8618158703d4abaee391bcc519e6d,babies,0,1,0,0
0x4263eb5638e8bf83af72ccde9b7c50feacc4fe4a,babies,0,1,0,0
0x42acaca6d514d7b3f8ad6f4f8ba26cb010e1a984,babies,0,2,0,0
0x430656e8559d68928dfe0ed2c9fb50e13c73c2ed,babies,0,5,0,0
0x4353046b9d41f02d5a4029460ca6137d16551279,babies,0,1,0,0
0x43b27614c91ac838d9e1b1353a8a9b561a1d7548,babies,0,4,0,0
0x449ed3e715f3813324050c108fee1c3fdf81f368,babies,0,1,0,0
0x44c76489d04b0c7d1767e277691b3baf44e340a1,babies,0,1,0,0
0x44d6fa50b6a15215e6c589d528a68b48095a43fd,babies,0,1,0,0
0x457061e02162bac815d2ff2cec81135ca5f9d42d,babies,0,1,0,0
0x459aa732ad993b08022292d3ee8927a1c4edba48,babies,0,1,0,0
0x45c0cdb7de5bab597bce961040390358b777f8ac,babies,0,1,0,0
0x468f578115e3b654b2c6e1e7e965cef83f9ec13c,babies,0,1,0,0
0x4870b25e9d86e8f5d329b52a89030576b613f9ee,babies,0,1,0,0
0x48cbafc787a4cc8ae892e0e6bdf02d428a6a0613,babies,0,1,0,0
0x48d6e9c5aacc8b3db628ea562229efbe92f172e4,babies,0,1,0,0
0x4927c1dd26d0bfe25a352b08fe5fb847494261fa,babies,0,1,0,0
0x4933df5ad5641d0d62c605c3a9c242bb258a421d,babies,0,1,0,0
0x4b4d897cc153a5923730e86aa58ae30816229a7a,babies,0,1,0,0
0x4bf1dabe93e0e0e834b929bcadb779d9b2b59ff4,babies,0,1,0,0
0x4c5248873d15c7579e4c47a9cd348ae6eb0968ec,babies,0,1,0,0
0x4c9b9ae7c62eac1946070b772d424af8647acd11,babies,0,1,0,0
0x4ca50c8b1427cd701b103b6f6dc78c0ed9ca2543,babies,0,1,0,0
0x4ca728e18ceb8877bc5b6dbac8ae4b69de89abd4,babies,0,1,0,0
0x4d565c1ff264439038a601ae0fc2b067c88a2981,babies,0,1,0,0
0x4dd2d36cc216a4de21d13f442e38302de287ace2,babies,0,1,0,0
0x4e2cc9bde380baec14c43a3a798256abd58fcf1a,babies,0,1,0,0
0x4e83c8f915b948453e026bdcf7cfe2e1781b5bfa,babies,0,2,0,0
0x4f05197ac799cf7933f2a77ec0dd84f917cd4b85,babies,0,1,0,0
0x4f64c6b8333f74890b0ba0af4d480d8ecce01e17,babies,0,1,0,0
0x4fb13b54c58b8ea209e11cb01503895ac2628789,babies,0,3,0,0
0x51504ce22cd98061770d1c39605261fc1fa2358c,babies,0,3,0,0
0x51ccf589f35af991113a81f55cbe0442afd7219f,babies,0,1,0,0
0x5290753d7d764c0b95a519c8ff0bf2cf859077dd,babies,0,1,0,0
0x533bde203da80e4c4c8986804a7b9555eba214f0,babies,0,2,0,0
0x5463852367d41289e36f1672c8bc44704968ef38,babies,0,1,0,0
0x54f1f46931755270488b9aa896afbc82ad04fde4,babies,0,1,0,0
0x55096966fc5d0ecb5b574065f1ecfe4747890525,babies,0,1,0,0
